#dateTime,open,close,low,high,volumeFrom,volumeTo
2017-03-17T13:34:00,43.01,42.96,42.74,43.06,207.53,8927.73
2017-03-17T13:35:00,42.96,42.74,42.74,42.96,94.26,4036.05
2017-03-17T13:36:00,42.74,42.95,42.74,42.95,135.49,5812.52
2017-03-17T13:37:00,42.95,42.92,42.75,42.95,8.31,356.82
2017-03-17T13:38:00,42.92,42.91,42.79,43,872.72,37456.62
2017-03-17T13:39:00,42.91,42.99,42.75,43,215.68,9264.62
2017-03-17T13:40:00,42.99,43,42.77,43,277.24,11920.57
2017-03-17T13:41:00,43,43.1,42.87,43.11,280.28,12058.89
2017-03-17T13:42:00,43.38,43.13,43.12,43.45,302.64,13126.48
2017-03-17T13:43:00,43.13,43.45,43.13,43.48,205.4,8911.28
2017-03-17T13:44:00,43.45,43.45,43.45,43.45,377.47,16409.71
2017-03-17T13:45:00,43.45,43.71,43.26,43.71,1101.11,48018.69
2017-03-17T13:46:00,43.71,43.74,43.31,43.74,1015.56,44198.58
2017-03-17T13:47:00,43.74,43.71,43.68,43.74,340.94,14909.47
2017-03-17T13:48:00,43.71,43.71,43.68,43.74,586.12,25599.3
2017-03-17T13:49:00,43.71,43.51,43.51,43.71,1153.2,50388.36
2017-03-17T13:50:00,43.51,43.74,43.17,43.74,682.95,29773.64
2017-03-17T13:51:00,43.74,43.7,43.3,43.81,232.2,10147.32
2017-03-17T13:52:00,43.7,43.7,43.3,43.7,319.28,13932.82
2017-03-17T13:53:00,43.7,43.7,43.7,43.7,513.56,22437.61
2017-03-17T13:54:00,43.7,43.7,43.7,43.7,1118.63,48873.22
2017-03-17T13:55:00,43.7,43.96,43.7,43.96,1173.89,51317.83
2017-03-17T13:56:00,43.96,44.01,43.85,44.01,519.02,22820.94
2017-03-17T13:57:00,44.01,44.01,44.01,44.01,941.55,41428.33
2017-03-17T13:58:00,44.01,43.91,43.86,44.01,653.25,28794.94
2017-03-17T13:59:00,43.91,43.91,43.74,44.14,589.86,25934.43
2017-03-17T14:00:00,43.91,43.7,43.68,44.14,266.54,11705.98
2017-03-17T14:01:00,43.7,43.4,42.83,44,1702.79,73873
2017-03-17T14:02:00,43.4,42.9,42.62,43.88,803.68,34630.51
